X,Y,FID,Año,IdAccident,Latitud,longitud,ClaseAccid,Fecha,Hora,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves
-8136537.39306467,-4406204.47809952,3222,2024,1621759,-36.763584,-73.091759,1,2024/06/29 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,OTRO TIPO,OTRO TIPO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,RIO LOA, ,- RIO LOA,245, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1
-8131182.59159904,-4414007.2260744,3223,2024,1626650,-36.819716,-73.043656,1,2024/07/03 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,PAICAVI,LOS CARRERA,LOS CARRERA - PAICAVI,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,1
-8129752.02482286,-4413293.04777415,3224,2024,1611619,-36.81458,-73.030805,1,2024/05/14 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,COLLAO,JUAN BOSCO,COLLAO - JUAN BOSCO,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8133085.59829415,-4415011.13365242,3225,2024,1621895,-36.826935,-73.060751,1,2024/07/01 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,ARTURO PRAT,LOS CARRERA,ARTURO PRAT - LOS CARRERA,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,MOJADO,LLOVIZNA,0,0,0,0
-8132169.88416289,-4414011.67593367,3226,2024,1626743,-36.819748,-73.052525,1,2024/07/04 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,COLISION LATERAL,COLISION,URBANA,CRUCE CON SENAL CEDA EL PASO,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER SENAL CEDA EL PASO,COLO COLO,MANUEL BULNES,COLO COLO - MANUEL BULNES,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8133685.16507157,-4415299.84936339,3227,2024,1611622,-36.829011,-73.066137,1,2024/05/14 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,CHOQUE FRONTAL,CHOQUE,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,COSTANERA,CALETERA LOS CARRERA,CALETERA LOS CARRERA - COSTANERA,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8094038.72842554,-4477859.29603112,3228,2024,1621965,-37.277512,-72.709987,1,2024/06/28 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LAJA,COLISION,COLISION,URBANA,CRUCE CON SENAL CEDA EL PASO,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,LAS VINAS,MOLINA,LAS VINAS - MOLINA,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,NUBLADO,0,0,0,2
-8131303.15060757,-4408568.24670996,3229,2024,1626756,-36.780593,-73.044739,1,2024/07/05 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,CRUCE CON SENAL CEDA EL PASO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,VALLE BLANCO,SAN SEBASTIAN,SAN SEBASTIAN - VALLE BLANCO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8121160.72048191,-4385850.97721503,3230,2024,1611624,-36.61697,-72.953628,1,2024/05/16 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TOME,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,SOTOMAYOR, ,- SOTOMAYOR,1287, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8060577.0913685,-4443389.90330149,3231,2024,1621970,-37.030722,-72.409396,1,2024/06/29 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CABRERO,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,SAN MARTIN, ,- SAN MARTIN,148, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0
