X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-8132289.85317811,-4415838.6256381,2250,-73.053603,-36.832885,1465028,2022,1,2022/08/02 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,31,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,1,IMPRUDENCIA DEL CONDUCTOR,0,SALAS,0,CHACABUCO,CHACABUCO - SALAS,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,15:38:00
-8130956.83567171,-4414626.17777562,2251,-73.041628,-36.824167,1465032,2022,1,2022/08/02 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,PAICAVI,0,BERNARDO O'HIGGINS,BERNARDO O'HIGGINS - PAICAVI,0,0,0,0,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,08:55:00
-8131248.21443886,-4414421.96107794,2252,-73.044246,-36.822698,1465037,2022,1,2022/08/02 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,ONGOLMO,0,FREIRE,FREIRE - ONGOLMO,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,2,0,23:33:00
-8131455.97000453,-4415403.18269031,2253,-73.046112,-36.829754,1465039,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,29,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,1,IMPRUDENCIA DEL CONDUCTOR,0,COLO COLO,0,CHACABUCO,CHACABUCO - COLO COLO,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,2,16:40:00
-8132168.5038012,-4417409.54772223,2254,-73.052513,-36.844179,1465046,2022,1,2022/08/03 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,62,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,10,DESOBEDIENCIA A SEÑALIZACION,0,PEDRO DE VALDIVIA,0,ARTURO JUNGE,ARTURO JUNGE - PEDRO DE VALDIVIA,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,2,21:50:00
-8131967.98400243,-4412609.1725354,2255,-73.050711,-36.809662,1465049,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,29,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,1,IMPRUDENCIA DEL CONDUCTOR,0,PAICAVI,0,EJERCITO,EJERCITO - PAICAVI,0,0,0,0,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,2,11:15:00
-8162047.95756816,-4474072.94329408,2256,-73.320924,-37.250442,1465050,2022,1,2022/07/28 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,ARTURO PRAT,0,LAS GARDENIAS,ARTURO PRAT - LAS GARDENIAS,0,0,0,0,2,2,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,3,MOJADO,3,LLUVIA,0,0,0,0,1,00:30:00
-8162047.4009707,-4473451.75201024,2257,-73.320919,-37.246,1465063,2022,1,2022/07/31 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,CARLOS CONDELL,0,ARTURO PRAT,ARTURO PRAT - CARLOS CONDELL,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,19:42:00
-8132101.40041215,-4417514.96015526,2258,-73.05191,-36.844937,1465075,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,PEDRO DE VALDIVIA,0,0,- PEDRO DE VALDIVIA,190,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,1,1,08:00:00
-8131667.9000511,-4415001.35707806,2259,-73.048016,-36.826865,1465080,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,51,PEATON PERMANECE SOBRE LA CALZADA,2,IMPRUDENCIA DEL PEATON,0,BERNARDO O'HIGGINS,0,COLO COLO,BERNARDO O'HIGGINS - COLO COLO,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,1,0,0,1,09:30:00
-8126939.45996432,-4415867.29047854,2260,-73.005539,-36.833091,1465088,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,16,CRUCE SIN SEÑALIZACION,1,FALLAS MECANICAS FRENOS,12,FALLAS MECANICAS,0,CAMINO NONGUEN,0,30 DE OCTUBRE,30 DE OCTUBRE - CAMINO NONGUEN,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,2,10:00:00
