FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
216690,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,207.325537320628,
216691,residential,Calle Juan de la Cruz Leon Gaete,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,1281.05527057807,CALLE JUAN DE LA CRUZ LEON GAETE
216692,residential,Freire,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,1629.7784702078,FREIRE
216693,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,97.6870972876229,
216694,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,64.3755167939954,
216695,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,62.9721578070868,
216696,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,252.672863833288,
216697,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,119.291184700864,
216698,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,134.583162696715,
216699,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,212.65571483127,
216700,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,119.066227073468,
216701,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,225.42959777715,
216923,motorway_link,Salida a Nebuco y Quillay,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,312.40038790623,SALIDA A NEBUCO Y QUILLAY
216924,secondary,,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,518.864660602729,
216925,unclassified,Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,127.984224833995,DISTRIBUIDORA RABIÉ
216926,secondary,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,53.1678443731421,ENLACE NEBUCO
216927,motorway_link,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,209.736605024832,ENLACE NEBUCO
216928,motorway_link,Enlace Nebuco,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,64.3043733156217,ENLACE NEBUCO
216929,motorway_link,Acceso a Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,651.432716900547,ACCESO A DISTRIBUIDORA RABIÉ
216930,motorway,Autopista del Bosque,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,23.3744210805826,AUTOPISTA DEL BOSQUE
216931,motorway_link,Salida a Ruta 5 al Sur,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,76.3476423917245,SALIDA A RUTA 5 AL SUR
216932,motorway,Autopista del Bosque,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,18.3035814085742,AUTOPISTA DEL BOSQUE
216933,unclassified,Distribuidora Rabié,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,73.2612493095218,DISTRIBUIDORA RABIÉ
